from,to,open,close,min,max,volume
1730326920,1730327040,166.4365,166.4165,166.415,166.438,145
1730327040,1730327160,166.417,166.396,166.3945,166.418,196
1730327160,1730327280,166.3955,166.374,166.374,166.3965,112
1730327280,1730327400,166.3745,166.395,166.3745,166.403,187
1730327400,1730327520,166.395,166.389,166.385,166.3965,171
1730327520,1730327640,166.3895,166.4185,166.3885,166.42,99
1730327640,1730327760,166.4185,166.4075,166.4015,166.4195,93
1730327760,1730327880,166.4055,166.4045,166.401,166.41,101
1730327880,1730328000,166.4045,166.4155,166.404,166.4295,135
1730328000,1730328120,166.4155,166.434,166.413,166.435,108
1730328120,1730328240,166.4335,166.442,166.433,166.446,93
1730328240,1730328360,166.441,166.4155,166.4135,166.442,86
1730328360,1730328480,166.4155,166.4115,166.395,166.4235,178
1730328480,1730328600,166.4105,166.431,166.4085,166.442,144
1730328600,1730328720,166.4315,166.4365,166.427,166.437,142
1730328720,1730328840,166.436,166.436,166.4355,166.4485,140
1730328840,1730328960,166.4365,166.4305,166.4275,166.4385,147
1730328960,1730329080,166.431,166.4435,166.422,166.4445,110
1730329080,1730329200,166.4435,166.472,166.4355,166.472,73
1730329200,1730329320,166.4825,166.5085,166.4655,166.5105,191
1730329320,1730329440,166.5095,166.532,166.5095,166.5405,180
1730329440,1730329560,166.531,166.5045,166.502,166.54,143
1730329560,1730329680,166.5035,166.5015,166.496,166.504,148
1730329680,1730329800,166.501,166.5075,166.501,166.514,107
1730329800,1730329920,166.507,166.472,166.471,166.508,81
1730329920,1730330040,166.471,166.4625,166.4525,166.471,122
1730330040,1730330160,166.463,166.4455,166.4425,166.4695,89
1730330160,1730330280,166.4455,166.456,166.445,166.4665,107
1730330280,1730330400,166.458,166.45,166.447,166.4715,131
1730330400,1730330520,166.45,166.453,166.4475,166.457,88
1730330520,1730330640,166.4535,166.455,166.4505,166.464,97
1730330640,1730330760,166.455,166.452,166.446,166.4645,100
1730330760,1730330880,166.4525,166.4675,166.452,166.4675,82
1730330880,1730331000,166.4675,166.4845,166.4665,166.497,136
1730331000,1730331120,166.4845,166.4865,166.484,166.4995,100
1730331120,1730331240,166.487,166.476,166.474,166.4905,127
1730331240,1730331360,166.478,166.4665,166.4595,166.4795,114
1730331360,1730331480,166.467,166.4575,166.45,166.4675,84
1730331480,1730331600,166.4575,166.46,166.4565,166.476,111
1730331600,1730331720,166.4595,166.453,166.4445,166.4595,99
1730331720,1730331840,166.453,166.4435,166.4355,166.454,93
1730331840,1730331960,166.447,166.408,166.4065,166.4705,295
1730331960,1730332080,166.4085,166.42,166.406,166.4225,136
1730332080,1730332200,166.4195,166.425,166.4155,166.426,62
1730332200,1730332320,166.425,166.4165,166.414,166.432,90
1730332320,1730332440,166.4165,166.4065,166.4005,166.419,86
1730332440,1730332560,166.4055,166.386,166.377,166.4075,129
1730332560,1730332680,166.386,166.3755,166.371,166.3945,83
1730332680,1730332800,166.3755,166.399,166.371,166.4165,184
1730332800,1730332920,166.4005,166.3635,166.351,166.4125,725
1730332920,1730333040,166.363,166.3055,166.304,166.3685,502
1730333040,1730333160,166.305,166.3385,166.2975,166.3385,540
1730333160,1730333280,166.339,166.2985,166.2935,166.3395,341
1730333280,1730333400,166.298,166.3195,166.2975,166.3285,303
1730333400,1730333520,166.3195,166.4005,166.311,166.4005,399
1730333520,1730333640,166.4,166.38,166.378,166.428,431
1730333640,1730333760,166.3795,166.39,166.379,166.4205,302
1730333760,1730333880,166.39,166.3795,166.363,166.395,310
1730333880,1730334000,166.379,166.3915,166.3585,166.396,280
1730334000,1730334120,166.392,166.369,166.351,166.395,343
1730334120,1730334240,166.369,166.363,166.3495,166.3735,318
1730334240,1730334360,166.362,166.349,166.328,166.3665,316
1730334360,1730334480,166.351,166.3325,166.307,166.3535,304
1730334480,1730334600,166.333,166.356,166.3065,166.366,288
1730334600,1730334720,166.3555,166.383,166.345,166.388,269
1730334720,1730334840,166.383,166.384,166.367,166.3945,368
1730334840,1730334960,166.3835,166.406,166.3815,166.436,402
1730334960,1730335080,166.4055,166.4165,166.3835,166.426,388
1730335080,1730335200,166.4155,166.452,166.41,166.454,381
1730335200,1730335320,166.4515,166.463,166.445,166.4745,497
1730335320,1730335440,166.463,166.4725,166.462,166.4855,389
1730335440,1730335560,166.4725,166.469,166.4665,166.4815,380
1730335560,1730335680,166.4685,166.51,166.465,166.51,337
1730335680,1730335800,166.509,166.5225,166.4795,166.523,416
1730335800,1730335920,166.522,166.531,166.4995,166.555,581
1730335920,1730336040,166.531,166.5505,166.5205,166.56,585
1730336040,1730336160,166.5505,166.607,166.514,166.63,898
1730336160,1730336280,166.6065,166.6705,166.5975,166.6905,800
1730336280,1730336400,166.669,166.639,166.6355,166.685,525
1730336400,1730336520,166.6385,166.67,166.6125,166.6935,675
1730336520,1730336640,166.6695,166.67,166.655,166.6905,555
1730336640,1730336760,166.6705,166.622,166.622,166.68,451
1730336760,1730336880,166.6225,166.604,166.6025,166.64,454
1730336880,1730337000,166.6045,166.622,166.5995,166.633,441
1730337000,1730337120,166.6225,166.6365,166.621,166.644,400
1730337120,1730337240,166.6365,166.6365,166.6215,166.6435,351
1730337240,1730337360,166.637,166.5955,166.588,166.638,287
1730337360,1730337480,166.5965,166.595,166.5565,166.601,392
1730337480,1730337600,166.5955,166.5935,166.585,166.6095,347
1730337600,1730337720,166.5925,166.605,166.586,166.6105,341
1730337720,1730337840,166.605,166.6415,166.604,166.6505,404
1730337840,1730337960,166.642,166.646,166.6285,166.6595,320
1730337960,1730338080,166.6465,166.5805,166.5775,166.6465,300
1730338080,1730338200,166.5805,166.5925,166.573,166.614,326
1730338200,1730338320,166.5925,166.6245,166.568,166.6275,490
1730338320,1730338440,166.625,166.582,166.5815,166.6335,465
